,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error
392,The Thief of Bagdad,1924,Not Rated,11 Apr 1924,155 min,"Adventure, Family, Fantasy, Romance",Raoul Walsh,"Lotta Woods (scenario editor), Douglas Fairbanks (story)","Douglas Fairbanks, Snitz Edwards, Charles Belcher, Julanne Johnston",A recalcitrant thief vies with a duplicitous Mongol ruler for the hand of a beautiful princess.,None,USA,2 wins.,https://m.media-amazon.com/images/M/MV5BNmM0MjdkMDQtMDMwMy00ZjE4LThjMDUtNjA4ZjkxYzM0MWRjXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",N/A,7.7,"5,697",tt0015400,movie,18 Feb 2016,N/A,Douglas Fairbanks Pictures,N/A,True,
393,White Shadows,1924,N/A,05 May 1924,82 min,Drama,Graham Cutts,"Alfred Hitchcock, Michael Morton (novel)","Betty Compson, Clive Brook, Henry Victor, A.B. Imeson",In Paris a wild girl becomes possessed by the soul of her twin who died to save her life.,"None, English",UK,1 win.,https://m.media-amazon.com/images/M/MV5BMjQzNWU2ZGEtNjI0Mi00YzU0LTljZTQtYTFhNjFhMmIzZjM4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDMzNDQ4ODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}]",N/A,6.2,203,tt0015493,movie,N/A,N/A,N/A,N/A,True,
394,Wild Oranges,1924,Passed,20 Jan 1924,88 min,"Drama, Romance",King Vidor,"Joseph Hergesheimer (by), King Vidor (adapted by), Tom Miranda (titles)","Frank Mayo, Virginia Valli, Ford Sterling, Nigel De Brulier","Millie Stope lives with her grandfather on a remote island. Her grandfather fled there for political reasons. But they're not alone. An escaped prisoner, Nicholas, is terrorizing them, and ...","None, English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BMjA4OTYwMTcwM15BMl5BanBnXkFtZTcwNDEyNTkzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,6.8,432,tt0015498,movie,21 Apr 2010,N/A,Goldwyn Pictures Corporation,N/A,True,
395,Wine of Youth,1924,N/A,15 Sep 1924,72 min,"Comedy, Drama",King Vidor,"Rachel Crothers (play), Carey Wilson","Eleanor Boardman, James Morrison, Johnnie Walker, Niles Welch","Unlike earlier generations of Marys who used every trickery to secure husbands, Mary the Third questions the validity of marriage in her search for adventure. Unable to decide between quiet...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BM2Y3OWEzZDMtMTFhNS00MzBhLWJiODAtOGNmZTUxMzE5ZGZlXkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,316,tt0015500,movie,N/A,N/A,N/A,N/A,True,
396,Yolanda,1924,N/A,15 Sep 1924,74 min,Romance,Robert G. Vignola,"Charles Major (novel), Luther Reed","Marion Davies, Lyn Harding, Holbrook Blinn, Macklyn Arbuckle","Princess Mary of Burgundy, traveling in disguise using the name of Yolanda, attends a silk fair and falls in love with Maximilian, who has disguised himself as a knight. Later Maximilian is...",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,10,tt0015518,movie,N/A,N/A,N/A,N/A,True,
397,The Adventures of Prince Achmed,1926,Not Rated,20 Jun 1929,80 min,"Animation, Adventure, Family, Fantasy, Romance","Lotte Reiniger, Carl Koch",N/A,N/A,"A handsome prince rides a flying horse to faraway lands and embarks on magical adventures, which include befriending a witch, meeting Aladdin, battling demons and falling in love with a princess.",None,Germany,N/A,https://m.media-amazon.com/images/M/MV5BMmQyN2Y1NWEtNTk3ZS00YjU3LThkOGItNDQ0NmEwZmFkYzVjXkEyXkFqcGdeQXVyNTAzNTYzMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.8,"5,534",tt0015532,movie,N/A,N/A,Paramount,N/A,True,
398,The Big Parade,1925,Not Rated,N/A,151 min,"Drama, Romance, War","King Vidor, George W. Hill","Laurence Stallings (story), Harry Behn (scenario), Joseph Farnham (titles)","John Gilbert, Renée Adorée, Hobart Bosworth, Claire McDowell",A young American soldier witnesses the horrors of the Great War.,None,USA,3 wins.,https://m.media-amazon.com/images/M/MV5BNjY2MTA1MjExNV5BMl5BanBnXkFtZTgwNzQ2ODAyMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.9,"6,232",tt0015624,movie,N/A,N/A,Metro-Goldwyn-Mayer,N/A,True,
399,Body and Soul,1925,Not Rated,09 Nov 1925,102 min,Drama,Oscar Micheaux,"Oscar Micheaux (novel), Oscar Micheaux (screenplay)","Paul Robeson, Marshall Rogers, Lawrence Chenault, Chester A. Alexander","A minister is malevolent and sinister behind his righteous facade. He consorts with, and later extorts from, the owner of a gambling house, and betrays an honest girl, eventually driving ...","None, English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BN2MyZGNmMWQtNDFhMC00ZDQ1LWI1NGUtMjBhYjNiNjNmNzQwXkEyXkFqcGdeQXVyNzM0MDQ1Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,832,tt0015634,movie,N/A,N/A,N/A,N/A,True,
400,Braveheart,1925,N/A,27 Dec 1925,71 min,Western,Alan Hale,"Elmer Harris (contributing writer), Mary O'Hara (adaptation), C. Gardner Sullivan (treatment), William C. de Mille (play)","Rod La Rocque, Lillian Rich, Robert Edeson, Arthur Housman","Chief Standing Rock's tribe has a treaty protecting their fishing grounds, but a canning corporation is violating the treaty through intimidation and force. The tribe is divided as to how ...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BZWE3MzNlOGYtMzA5ZS00OWIxLTlmMGYtOWQ1NDEzNzc4NTcyXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,178,tt0015643,movie,N/A,N/A,N/A,N/A,True,
401,Battleship Potemkin,1925,Not Rated,24 Dec 1925,66 min,"Drama, History, Thriller, War",Sergei M. Eisenstein,Nina Agadzhanova (script by),"Aleksandr Antonov, Vladimir Barskiy, Grigoriy Aleksandrov, Ivan Bobrov","In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.","None, Russian",Soviet Union,1 win.,https://m.media-amazon.com/images/M/MV5BMTEyMTQzMjQ0MTJeQTJeQWpwZ15BbWU4MDcyMjg4OTEx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '97/100'}]",97,8.0,"53,885",tt0015648,movie,N/A,"$51,198",Goskino,N/A,True,
402,The Circle,1925,Passed,22 Sep 1925,71 min,"Comedy, Drama",Frank Borzage,"Kenneth B. Clarke (adaptation), W. Somerset Maugham (play)","Eleanor Boardman, Malcolm McGregor, Alec B. Francis, Eugenie Besserer",An unhappy woman considers leaving her dull husband for another man.,"None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMTQ0MzEwMjg1OF5BMl5BanBnXkFtZTgwMjc1NjY3NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,519,tt0015684,movie,N/A,N/A,N/A,N/A,True,
403,Clash of the Wolves,1925,Passed,28 Nov 1925,74 min,"Adventure, Romance, Western",Noel M. Smith,Charles Logue (by),"Rin Tin Tin, Nanette, Charles Farrell, June Marlowe",A fire in the mountains drive a wolf pack into a nearby desert where they will terrorize the local residents.,"None, English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BNWZhYWI0MGYtZDFmNy00NzlhLTkwYTctNjkyOGZjNDg5ZTdmXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",N/A,6.6,246,tt0015687,movie,N/A,N/A,Warner Bros.,N/A,True,
404,Cobra,1925,N/A,30 Nov 1925,70 min,"Drama, Romance",Joseph Henabery,"Martin Brown (play), Anthony Coldeway","Rudolph Valentino, Nita Naldi, Casson Ferguson, Gertrude Olmstead","A penniless, skirt-chasing Italian nobleman finds love and scandal when he travels to New York City.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMjEwMzY5MTQ2MF5BMl5BanBnXkFtZTgwNDQ0NzY2MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,6.3,692,tt0015693,movie,07 Feb 2017,N/A,Ritz-Carlton Pictures,N/A,True,
405,Don Q Son of Zorro,1925,Not Rated,15 Jun 1925,111 min,"Adventure, Romance",Donald Crisp,"Kate Prichard (novel), Hesketh Prichard (novel), Jack Cunningham (photoplay)","Mary Astor, Jack McDonald, Donald Crisp, Stella De Lanti","Don Cesar, son of Zorro, is framed for murder while visiting Spain, and becomes the whip-wielding outlaw Don Q.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BZGY0OWM4MjYtMGNlYi00ZTJjLWJiNmMtNjkzMzJmOTQ4YThlXkEyXkFqcGdeQXVyMjM5NTI4Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}]",N/A,6.9,430,tt0015758,movie,19 Feb 2016,N/A,Elton Corporation,N/A,True,
406,Master of the House,1925,Not Rated,05 Oct 1925,111 min,"Comedy, Drama",Carl Theodor Dreyer,"Carl Theodor Dreyer, Svend Rindom (play), Svend Rindom (screenplay)","Johannes Meyer, Astrid Holm, Karin Nellemose, Mathilde Nielsen","When a man becomes tyrannical towards his family, the women of the house decide to teach him a lesson in gratitude.","None, Danish",Denmark,N/A,https://m.media-amazon.com/images/M/MV5BZDYwZjY0NzctOWUwNC00NTM0LThhYWEtOTA0NWZmNTI5NjZkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.1,"1,790",tt0015768,movie,N/A,N/A,Palladium Film,N/A,True,
407,The Eagle,1925,Unrated,08 Nov 1925,73 min,"Action, Adventure, Comedy, Drama, History, Romance",Clarence Brown,"Alexander Pushkin (novel), George Marion Jr. (titles)","Rudolph Valentino, Vilma Bánky, Louise Dresser, Albert Conti","A wanted Russian lieutenant becomes a masked vigilante seeking vengeance upon the man who stole his family's land, only to fall for his charming daughter.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BNWM3Y2RlNTItNmI5My00NWQzLWEzZDAtYzkzMmIwMjY4MDI1XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}]",N/A,6.6,"1,799",tt0015772,movie,19 Feb 2016,"$323,150",Art Finance Corporation,N/A,True,
408,The Phantom of the Moulin-Rouge,1925,N/A,01 Feb 1925,90 min,"Drama, Fantasy",René Clair,"René Clair, Walter Schlee","Georges Vaultier, José Davert, Sandra Milovanoff, Albert Préjean","A man goes to the lonely estate of the mysterious Dr. Renault, whose strange experiments release the man's spirit from his body.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BYWUwMDYyOGYtZTRhZC00YmE4LWExZTAtYzZmNjI3N2M1NjM2XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,136,tt0015794,movie,N/A,N/A,N/A,N/A,True,
409,The Living Dead Man,1926,Not Rated,12 Feb 1926,170 min,"Comedy, Drama, Romance",Marcel L'Herbier,"Marcel L'Herbier (scenario), Luigi Pirandello (play)","Ivan Mozzhukhin, Marcelle Pradot, Lois Moran, Marthe Mellot","Mathias Pascal, only son of a once rich family, marries beautiful Romilde, who has a terrible mother-in-law. She controls her daughter, and soon his home life becomes a nightmare, as well ...","None, French",France,N/A,https://m.media-amazon.com/images/M/MV5BYzA0OTM2ZDgtYzNmNS00NzE5LWFmMzAtNTQyODJjOGNhZmU4XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}]",N/A,7.1,322,tt0015801,movie,N/A,N/A,Films Albatros,N/A,True,
410,The Freshman,1925,Not Rated,20 Sep 1925,77 min,"Comedy, Family, Romance, Sport","Fred C. Newmeyer, Sam Taylor","Sam Taylor (story), Ted Wilde (story), John Grey (story), Tim Whelan (story)","Harold Lloyd, Jobyna Ralston, Brooks Benedict, James H. Anderson",A nerdy college student will do anything to become popular on campus.,"None, English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BMGJmNTE4MGYtZWY2My00YmUzLWFiOWUtY2VkNmEzZGQ1ZGViXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}]",N/A,7.5,"5,070",tt0015841,movie,23 Mar 2017,"$1,392",The Harold Lloyd Corporation,N/A,True,
411,The Joyless Street,1925,N/A,05 Jul 1927,125 min,Drama,Georg Wilhelm Pabst,"Hugo Bettauer (based on the novel by), F.H. Lyon (translator)","Asta Nielsen, Greta Garbo, Ágnes Eszterházy, Werner Krauss","In post-WWI Vienna, Greta (Greta Garbo), her kid sister, and retired dad try to make it through tough times.","None, German",Germany,N/A,https://m.media-amazon.com/images/M/MV5BMTU5MDQyMDg2OF5BMl5BanBnXkFtZTgwOTY0MTA5MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}]",N/A,7.2,"1,407",tt0015842,movie,08 Jan 2017,N/A,Sofar-Film,N/A,True,
412,Furusato no uta,1926,N/A,17 Sep 1926,45 min,Drama,Kenji Mizoguchi,Ryunosuke Shimizu,"Shigeru Mokudo, Mineko Tsuji, Kentaro Kawamata, Yutaka Mimasu","As all his peers leave the countryside to study in Tokyo, Naotaro stays behind.",None,Japan,N/A,https://m.media-amazon.com/images/M/MV5BMDk3ZmJjZjYtMmVkMi00ZDVmLWJkN2QtYmUyYWZjMTgwNTQ5XkEyXkFqcGdeQXVyMjM5NDM1MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,107,tt0015847,movie,N/A,N/A,N/A,N/A,True,
413,The Bride of Glomdal,1926,N/A,01 Jan 1926,115 min,"Drama, Romance",Carl Theodor Dreyer,"Jacob Breda Bull (novel), Carl Theodor Dreyer","Einar Sissener, Tove Tellback, Stub Wiberg, Harald Stormoen","Tore takes over the rundown family farm. Applying his youthful energy, he intends to make it into a big farm like Glomgården on the other side of the river, where beautiful Berit lives. ...",None,"Norway, Sweden",N/A,https://m.media-amazon.com/images/M/MV5BNjJkYjUxZDUtMjQ3ZS00ZDUwLTkzYjQtZmEwYzgzYTY2ODQzXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,434,tt0015861,movie,N/A,N/A,Victoria Film,N/A,True,
414,Go West,1925,Not Rated,01 Nov 1925,69 min,"Comedy, Western",Buster Keaton,"Buster Keaton, Lex Neal (assistant writer), Raymond Cannon (scenario)","Howard Truesdale, Kathleen Myers, Ray Thompson, Brown Eyes",With little luck at keeping a job in the city a New Yorker tries work in the country and eventually finds his way leading a herd of cattle to the West Coast.,"None, English",USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTk4MDQzODIwOV5BMl5BanBnXkFtZTgwNTQ3NTY2MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.2,"3,925",tt0015863,movie,N/A,N/A,Buster Keaton Productions Inc. [us],N/A,True,
415,The Gold Rush,1925,Passed,13 Jul 1925,95 min,"Adventure, Comedy, Drama, Western",Charles Chaplin,Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman",A prospector goes to the Klondike in search of gold and finds it and more.,"None, English",USA,Nominated for 2 Oscars. Another 3 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BZjEyOTE4MzMtNmMzMy00Mzc3LWJlOTQtOGJiNDE0ZmJiOTU4L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,8.2,"102,658",tt0015864,movie,N/A,N/A,Charles Chaplin Productions,N/A,True,
416,The Goose Woman,1925,N/A,27 Dec 1925,80 min,Drama,Clarence Brown,"Rex Beach (story), Dwinelle Benthall (titles), Melville W. Brown","Jack Pickford, Louise Dresser, Constance Bennett, Marc McDermott","A famous opera singer lost her voice when her son was born, and has drowned her sorrows in drink. When a murder is committed near her house, she invents a story in order to get herself back...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BODFjM2E3MzAtMTVkZS00YTRjLWJkYTQtYjRiNDIzZWFiYWJmXkEyXkFqcGdeQXVyNjU3NDE2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,151,tt0015872,movie,03 Jun 2008,N/A,Universal Pictures,N/A,True,
417,Greed,1924,Not Rated,26 Jan 1925,140 min,"Drama, Thriller, Western",Erich von Stroheim,"June Mathis (screen adaptation and scenario), Erich von Stroheim (screen adaptation and scenario), Frank Norris (from the American classic ""McTeague"" by)","Zasu Pitts, Gibson Gowland, Jean Hersholt, Dale Fuller",The sudden fortune won from a lottery fans such destructive greed that it ruins the lives of the three people involved.,"None, English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BNzFhZWQ1MjgtYTNmNy00ZjdhLWEwZDctMzJkYzE5YTQwNjIxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",N/A,8.1,"9,181",tt0015881,movie,23 Mar 2017,N/A,Metro Goldwyn Mayer,N/A,True,
418,Mother of Mine,1926,Not Rated,22 Dec 1928,65 min,Drama,Jacques Feyder,"Frédéric Boutet (novel), Jacques Feyder","Jean Forest, Rolla Norman, Françoise Rosay, Cécile Guyon",A sincere working-class 13-year old in France is adopted by a well-meaning philanthropic millionairess from America -- who promises his doting mother that the boy will have the finest education -- but things are not so simple.,"None, French",France,N/A,https://m.media-amazon.com/images/M/MV5BMWQ2MjhlMmUtNDdmZS00MTJiLTkxYzEtZjY4ZWE5M2Y3NDgzXkEyXkFqcGdeQXVyNzQxNDExNTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",N/A,6.8,231,tt0015883,movie,N/A,N/A,Films Albatros,N/A,True,
419,Her Sister from Paris,1925,N/A,02 Aug 1925,70 min,Comedy,Sidney Franklin,"Ludwig Fulda (play), Hanns Kräly (story)","Constance Talmadge, Ronald Colman, George K. Arthur, Gertrude Claire",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMWU5MDNjMzUtM2NmZi00OTkzLWJmN2YtZDQ1NTU3MzlkMjlhXkEyXkFqcGdeQXVyMjQ3MTQ1MTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,126,tt0015909,movie,N/A,N/A,N/A,N/A,True,
420,El húsar de la muerte,1925,N/A,24 Nov 1925,65 min,"Biography, Drama, History",Pedro Sienna,"Pedro Sienna, Hugo Silva","Pedro Sienna, Clara Werther, Piet Van Ravenstein, Guillermo Barrientos",The story of Manuel Rodriguez,N/A,Chile,N/A,https://m.media-amazon.com/images/M/MV5BOTJlNzI4YTItNGQzZi00NTdhLThlMDgtNmFiZDliNjQxNmY2XkEyXkFqcGdeQXVyMTcxNTYyMjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,102,tt0015935,movie,N/A,N/A,N/A,N/A,True,
421,Lady Windermere's Fan,1925,Approved,06 Jan 1926,120 min,Comedy,Ernst Lubitsch,"Oscar Wilde (by), Julien Josephson (adapted to the screen by), Maude Fulton (titles by), Eric Locke (titles by)","Ronald Colman, May McAvoy, Bert Lytell, Irene Rich","A society woman believes her husband is having an affair, a misconception which may have dire personal consequences for all involved.","None, English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BZTQzZmVmZjgtMDVhNy00MGU4LWJjZGYtM2RjMjgzNDU4YTQ5XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}]",N/A,7.3,"1,024",tt0016004,movie,11 Aug 2016,N/A,Warner Bros.,N/A,True,
422,Lady of the Night,1925,TV-G,23 Feb 1925,70 min,"Drama, Romance",Monta Bell,"Adela Rogers St. Johns (story), Alice D.G. Miller (scenario)","Norma Shearer, Malcolm McGregor, Dale Fuller, George K. Arthur",A world-weary prostitute yearns after respectability and the love of an inventor.,"None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BNGEzMGZhMTQtYTUxNC00N2RmLWI0ZDEtYzBlMWY2ZDI5MjNlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}]",N/A,6.6,554,tt0016005,movie,N/A,"$205,550",Metro Goldwyn Mayer,N/A,True,
423,The Lady,1925,N/A,08 Feb 1925,96 min,Drama,Frank Borzage,"Martin Brown (play), Frances Marion","Norma Talmadge, Wallace MacDonald, Brandon Hurst, Alfred J. Goulding","A young woman marries the wastrel son of a British aristocrat. Her husband, who has been disinherited by his father, loses what little money he has left gambling in casinos and then dies, ...",None,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjI5MTkxODM3OF5BMl5BanBnXkFtZTcwNjMxODI0NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,125,tt0016006,movie,N/A,"$190,048",N/A,N/A,True,
424,Lazybones,1925,Passed,06 Nov 1925,80 min,"Action, Comedy, Drama, Romance, War",Frank Borzage,"Owen Davis (based on a play by), Frances Marion (scenario)","Madge Bellamy, Buck Jones, Zasu Pitts, Leslie Fenton","Steve Tuttle, the titular lazybones, takes on the responsibility of raising a fatherless girl, causing a scandal in his small town. Many years later, having returned from World War I, he ...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMjcwMmU5YzgtNGYwNy00YmQxLTkyMzMtNmNjYjExYzc2ZmJhXkEyXkFqcGdeQXVyMjQ3MTQ1MTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}]",N/A,7.2,483,tt0016013,movie,N/A,N/A,N/A,N/A,True,
425,Lights of Old Broadway,1925,N/A,01 Nov 1925,70 min,"Drama, Romance",Monta Bell,"Laurence Eyre (play), Joseph Farnham (titles), Carey Wilson (adaptation), Carey Wilson (screenplay)","Marion Davies, Conrad Nagel, Frank Currier, George K. Arthur","Lights of Old Broadway (1925) is a drama film directed by Monta Bell, produced by William Randolph Hearst's Cosmopolitan Productions, and released by Metro-Goldwyn-Mayer. The film stars ...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMzQ0YzIxNmMtYzM0My00MWE4LWE2NjgtMGM1YWZjMjBhZDIyXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,451,tt0016023,movie,N/A,N/A,N/A,N/A,True,
426,Little Annie Rooney,1925,Unrated,18 Oct 1925,94 min,"Drama, Comedy",William Beaudine,"Mary Pickford (by), Hope Loring (adaptation), Louis D. Lighton (adaptation)","Mary Pickford, William Haines, Walter James, Gordon Griffith","The tenements are home to an international community, including the friends and family of a tough young ragamuffin named Annie Rooney, but their neighborhood may be threatened by a dangerous street gang.","None, English, Greek",USA,N/A,https://m.media-amazon.com/images/M/MV5BODM1OGY1MTAtM2I4NS00ZTRhLThhNjEtYzcxZDBhOGZlZWU4XkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,6.7,895,tt0016028,movie,30 Jun 2016,"$1,100,000",Mary Pickford Company,N/A,True,
427,The Little Colonel,1935,Approved,22 Feb 1935,81 min,"Comedy, Family, Musical",David Butler,"William M. Conselman (screen play), William M. Conselman (adaptation), Anne Fellows Johnston (based on the story: ""The Little Colonel"" by)","Shirley Temple, Lionel Barrymore, Evelyn Venable, John Lodge","In the post-Civil war south, a darling little girl attempts to restore the peace between her parents and her plantation owner grandfather.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjU3NjYyODk1N15BMl5BanBnXkFtZTgwNDI5Njc0MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",N/A,7.1,"1,504",tt0016029,movie,03 Apr 2016,N/A,Fox Film Corporation,N/A,True,
428,The Lost World,1925,Passed,22 Jun 1925,110 min,"Adventure, Fantasy, Sci-Fi, Thriller",Harry O. Hoyt,"Arthur Conan Doyle (based upon the 1912 novel by), Marion Fairfax (screenplay)","Bessie Love, Lewis Stone, Wallace Beery, Lloyd Hughes",The first film adaptation of Sir Arthur Conan Doyle's classic novel about a land where prehistoric creatures still roam.,None,USA,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMzQxMjNlNDItNTUzZC00YWZhLTgwNTAtZTExMzQ0Y2MwODM5XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.0,"4,724",tt0016039,movie,N/A,"$1,194,450",First National Pictures,N/A,True,
